fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,36,Cancer,0.7078651685393258,0.7078651685393258
1,1,08,Healthy,0.8861788617886179,0.11382113821138207
1,1,07,Healthy,0.9003476245654692,0.09965237543453076
1,2,36,Cancer,0.7209737827715356,0.7209737827715356
1,2,08,Healthy,0.9010840108401084,0.09891598915989164
1,2,07,Healthy,0.8933951332560834,0.10660486674391656
1,3,36,Cancer,0.6310861423220974,0.6310861423220974
1,3,07,Healthy,0.9154113557358053,0.08458864426419466
1,3,08,Healthy,0.9254742547425474,0.07452574525745259
2,1,12,Cancer,0.3672566371681416,0.3672566371681416
2,1,07,Healthy,0.779837775202781,0.22016222479721903
2,1,08,Healthy,0.8062330623306233,0.1937669376693767
2,2,12,Cancer,0.4424778761061947,0.4424778761061947
2,2,07,Healthy,0.8041714947856315,0.19582850521436845
2,2,08,Healthy,0.8157181571815718,0.1842818428184282
2,3,12,Cancer,0.3672566371681416,0.3672566371681416
2,3,07,Healthy,0.7891077636152954,0.21089223638470456
2,3,08,Healthy,0.8170731707317073,0.18292682926829273
3,1,38,Cancer,0.23618090452261306,0.23618090452261306
3,1,37,Cancer,0.21806853582554517,0.21806853582554517
3,1,07,Healthy,0.9826187717265353,0.017381228273464666
3,1,08,Healthy,0.978319783197832,0.02168021680216803
3,2,37,Cancer,0.245067497403946,0.245067497403946
3,2,38,Cancer,0.2449748743718593,0.2449748743718593
3,2,07,Healthy,0.9721900347624566,0.02780996523754342
3,2,08,Healthy,0.9661246612466124,0.03387533875338755
3,3,37,Cancer,0.2398753894080997,0.2398753894080997
3,3,38,Cancer,0.2537688442211055,0.2537688442211055
3,3,08,Healthy,0.981029810298103,0.01897018970189701
3,3,07,Healthy,0.9675550405561993,0.03244495944380066
