fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,07,Cancer,0.6333956565511291,0.6333956565511291
1,1,55,Cancer,0.6191913095956548,0.6191913095956548
1,1,37,Cancer,0.6372950819672131,0.6372950819672131
1,1,61,Healthy,0.8788031496062992,0.12119685039370076
1,1,26,Healthy,0.8739721234035108,0.12602787659648917
1,1,78,Healthy,0.8691244239631336,0.1308755760368664
1,2,37,Cancer,0.6021174863387978,0.6021174863387978
1,2,07,Cancer,0.6073637278872429,0.6073637278872429
1,2,55,Cancer,0.5896197948098975,0.5896197948098975
1,2,78,Healthy,0.8626728110599078,0.13732718894009222
1,2,26,Healthy,0.8619583600629848,0.13804163993701524
1,2,61,Healthy,0.8575118110236221,0.14248818897637794
1,3,37,Cancer,0.5983606557377049,0.5983606557377049
1,3,07,Cancer,0.6113907665755789,0.6113907665755789
1,3,55,Cancer,0.6035003017501509,0.6035003017501509
1,3,61,Healthy,0.863496062992126,0.136503937007874
1,3,78,Healthy,0.8732718894009217,0.1267281105990783
1,3,26,Healthy,0.8607919752726424,0.1392080247273576
2,1,05,Cancer,0.8452563708934603,0.8452563708934603
2,1,01,Cancer,0.8376168224299065,0.8376168224299065
2,1,53,Cancer,0.8373812038014784,0.8373812038014784
2,1,63,Healthy,0.8363892806770099,0.1636107193229901
2,1,80,Healthy,0.8375893324036953,0.16241066759630474
2,1,59,Healthy,0.841413683733575,0.15858631626642505
2,2,01,Cancer,0.872533748701973,0.872533748701973
2,2,53,Cancer,0.8846356916578669,0.8846356916578669
2,2,05,Cancer,0.8716610377648143,0.8716610377648143
2,2,80,Healthy,0.8623845215269305,0.13761547847306954
2,2,59,Healthy,0.8650883552333485,0.13491164476665152
2,2,63,Healthy,0.8737658674188998,0.12623413258110017
2,3,53,Cancer,0.840285110876452,0.840285110876452
2,3,01,Cancer,0.8396936656282451,0.8396936656282451
2,3,05,Cancer,0.8449493398833282,0.8449493398833282
2,3,63,Healthy,0.8314527503526093,0.16854724964739065
2,3,80,Healthy,0.8370664110162106,0.1629335889837894
2,3,59,Healthy,0.8417535115541459,0.1582464884458541
