fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,36,Cancer,0.8123746777427672,0.8123746777427672
1,1,08,Healthy,0.9280201041105726,0.07197989588942744
1,1,07,Healthy,0.9367600346520358,0.06323996534796417
1,2,36,Cancer,0.8372959037525064,0.8372959037525064
1,2,07,Healthy,0.9410915391279238,0.05890846087207624
1,2,08,Healthy,0.9375336564351104,0.06246634356488956
1,3,36,Cancer,0.728731022629619,0.728731022629619
1,3,08,Healthy,0.8996589481242147,0.10034105187578535
1,3,07,Healthy,0.9012416979497545,0.0987583020502455
2,1,12,Cancer,0.8386402753872634,0.8386402753872634
2,1,08,Healthy,0.8765033207682642,0.1234966792317358
2,1,07,Healthy,0.8787178746751372,0.12128212532486282
2,2,12,Cancer,0.8743545611015491,0.8743545611015491
2,2,07,Healthy,0.912214842622004,0.08778515737799597
2,2,08,Healthy,0.9107880093340514,0.08921199066594865
2,3,12,Cancer,0.8485370051635112,0.8485370051635112
2,3,08,Healthy,0.9025309639203015,0.09746903607969848
2,3,07,Healthy,0.9113485417268264,0.08865145827317356
3,1,38,Cancer,0.3361138370951914,0.3361138370951914
3,1,37,Cancer,0.3412350898384418,0.3412350898384418
3,1,08,Healthy,0.9922814575480166,0.007718542451983446
3,1,07,Healthy,0.9930695928385793,0.006930407161420682
3,2,38,Cancer,0.30536473666993785,0.30536473666993785
3,2,37,Cancer,0.31269817303336855,0.31269817303336855
3,2,07,Healthy,0.9916257580132832,0.008374241986716768
3,2,08,Healthy,0.9908454496499731,0.00915455035002688
3,3,38,Cancer,0.24910042525351653,0.24910042525351653
3,3,37,Cancer,0.2648346670693039,0.2648346670693039
3,3,07,Healthy,0.982385215131389,0.01761478486861101
3,3,08,Healthy,0.9822294022617124,0.017770597738287597
