fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,36,Cancer,0.6891385767790262,0.6891385767790262
1,1,08,Healthy,0.9200542005420054,0.07994579945799463
1,1,07,Healthy,0.9339513325608343,0.06604866743916571
1,2,36,Cancer,0.6928838951310862,0.6928838951310862
1,2,07,Healthy,0.9165701042873696,0.08342989571263038
1,2,08,Healthy,0.9281842818428184,0.07181571815718157
1,3,36,Cancer,0.6629213483146067,0.6629213483146067
1,3,07,Healthy,0.9188876013904983,0.0811123986095017
1,3,08,Healthy,0.8929539295392954,0.10704607046070458
2,1,12,Cancer,0.4557522123893805,0.4557522123893805
2,1,08,Healthy,0.7981029810298103,0.20189701897018975
2,1,07,Healthy,0.8053302433371958,0.19466975666280417
2,2,12,Cancer,0.38495575221238937,0.38495575221238937
2,2,07,Healthy,0.8099652375434531,0.19003476245654694
2,2,08,Healthy,0.8238482384823849,0.17615176151761514
2,3,12,Cancer,0.5398230088495575,0.5398230088495575
2,3,07,Healthy,0.8192352259559675,0.18076477404403246
2,3,08,Healthy,0.8238482384823849,0.17615176151761514
3,1,37,Cancer,0.2564901349948079,0.2564901349948079
3,1,38,Cancer,0.25753768844221103,0.25753768844221103
3,1,08,Healthy,0.983739837398374,0.016260162601625994
3,1,07,Healthy,0.9779837775202781,0.022016222479721903
3,2,38,Cancer,0.2952261306532663,0.2952261306532663
3,2,37,Cancer,0.32191069574247144,0.32191069574247144
3,2,07,Healthy,0.9745075318655851,0.02549246813441486
3,2,08,Healthy,0.9701897018970189,0.02981029810298108
3,3,37,Cancer,0.2398753894080997,0.2398753894080997
3,3,38,Cancer,0.2562814070351759,0.2562814070351759
3,3,08,Healthy,0.964769647696477,0.035230352303523005
3,3,07,Healthy,0.9490150637311703,0.05098493626882972
