fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,36,Cancer,0.8281294757949011,0.8281294757949011
1,1,07,Healthy,0.947444412359226,0.05255558764077395
1,1,08,Healthy,0.9430981870400287,0.05690181295997132
1,2,36,Cancer,0.8026353480378116,0.8026353480378116
1,2,08,Healthy,0.9290971100341052,0.07090288996589478
1,2,07,Healthy,0.9321397632110886,0.0678602367889114
1,3,36,Cancer,0.7908908622171298,0.7908908622171298
1,3,08,Healthy,0.9337641357027464,0.06623586429725359
1,3,07,Healthy,0.9428241409182789,0.05717585908172107
2,1,12,Cancer,0.8343373493975904,0.8343373493975904
2,1,07,Healthy,0.8885359514871499,0.11146404851285008
2,1,08,Healthy,0.8967869323281278,0.10321306767187222
2,2,12,Cancer,0.8231497418244407,0.8231497418244407
2,2,07,Healthy,0.8879584175570314,0.11204158244296858
2,2,08,Healthy,0.8955304254173398,0.10446957458266015
2,3,12,Cancer,0.8515490533562823,0.8515490533562823
2,3,07,Healthy,0.8833381461160843,0.1166618538839157
2,3,08,Healthy,0.8817088493986717,0.11829115060132833
3,1,37,Cancer,0.2532085157783482,0.2532085157783482
3,1,38,Cancer,0.26578344782466473,0.26578344782466473
3,1,08,Healthy,0.9958714772931251,0.004128522706874915
3,1,07,Healthy,0.9974010973144672,0.0025989026855327557
3,2,37,Cancer,0.2763098293824551,0.2763098293824551
3,2,38,Cancer,0.2986588158325155,0.2986588158325155
3,2,08,Healthy,0.9973074851911685,0.002692514808831481
3,2,07,Healthy,0.998556165174704,0.0014438348252959754
3,3,38,Cancer,0.2726529277069022,0.2726529277069022
3,3,37,Cancer,0.2856711460063415,0.2856711460063415
3,3,08,Healthy,0.9978459881529348,0.002154011847065207
3,3,07,Healthy,0.9982673982096448,0.0017326017903551705
