fold,i_model,accuracy,precision,recall,f1,TP,FP,FN,TN,report
1,1,0.8679156908665105,0.7603305785123967,0.6891385767790262,0.7229862475442043,368,116,166,1485,"             precision    recall  f1-score   support

     Cancer    0.76033   0.68914   0.72299       534
    Healthy    0.89945   0.92755   0.91328      1601

avg / total    0.86466   0.86792   0.86569      2135
"
1,2,0.8646370023419204,0.7474747474747475,0.6928838951310862,0.7191448007774539,370,125,164,1476,"             precision    recall  f1-score   support

     Cancer    0.74747   0.69288   0.71914       534
    Healthy    0.90000   0.92192   0.91083      1601

avg / total    0.86185   0.86464   0.86289      2135
"
1,3,0.8459016393442623,0.7037773359840954,0.6629213483146067,0.682738669238187,354,149,180,1452,"             precision    recall  f1-score   support

     Cancer    0.70378   0.66292   0.68274       534
    Healthy    0.88971   0.90693   0.89824      1601

avg / total    0.84320   0.84590   0.84434      2135
"
2,1,0.759168035030104,0.24523809523809523,0.4557522123893805,0.3188854489164087,103,317,123,1284,"             precision    recall  f1-score   support

     Cancer    0.24524   0.45575   0.31889       226
    Healthy    0.91258   0.80200   0.85372      1601

avg / total    0.83003   0.75917   0.78756      1827
"
2,2,0.7629994526546251,0.2283464566929134,0.38495575221238937,0.2866556836902801,87,294,139,1307,"             precision    recall  f1-score   support

     Cancer    0.22835   0.38496   0.28666       226
    Healthy    0.90387   0.81636   0.85789      1601

avg / total    0.82031   0.76300   0.78723      1827
"
2,3,0.7865353037766831,0.29901960784313725,0.5398230088495575,0.3848580441640378,122,286,104,1315,"             precision    recall  f1-score   support

     Cancer    0.29902   0.53982   0.38486       226
    Healthy    0.92671   0.82136   0.87086      1601

avg / total    0.84906   0.78654   0.81074      1827
"
3,1,0.6017857142857143,0.9358178053830227,0.25696418419556566,0.4032114183764495,452,31,1307,1570,"             precision    recall  f1-score   support

     Cancer    0.93582   0.25696   0.40321      1759
    Healthy    0.54571   0.98064   0.70121      1601

avg / total    0.74993   0.60179   0.54520      3360
"
3,2,0.6255952380952381,0.9252971137521222,0.30983513359863557,0.4642248722316865,545,44,1214,1557,"             precision    recall  f1-score   support

     Cancer    0.92530   0.30984   0.46422      1759
    Healthy    0.56189   0.97252   0.71226      1601

avg / total    0.75214   0.62560   0.58241      3360
"
3,3,0.5851190476190476,0.8613861386138614,0.24729960204661738,0.3842756183745583,435,70,1324,1531,"             precision    recall  f1-score   support

     Cancer    0.86139   0.24730   0.38428      1759
    Healthy    0.53625   0.95628   0.68716      1601

avg / total    0.70646   0.58512   0.52860      3360
"
