fold,i_model,accuracy,precision,recall,f1,TP,FP,FN,TN,report
1,1,0.8562060889929742,0.7137476459510358,0.7097378277153558,0.7117370892018778,379,152,155,1449,"             precision    recall  f1-score   support

     Cancer    0.71375   0.70974   0.71174       534
    Healthy    0.90337   0.90506   0.90421      1601

avg / total    0.85594   0.85621   0.85607      2135
"
1,2,0.8379391100702576,0.7017167381974249,0.6123595505617978,0.6539999999999999,327,139,207,1462,"             precision    recall  f1-score   support

     Cancer    0.70172   0.61236   0.65400       534
    Healthy    0.87597   0.91318   0.89419      1601

avg / total    0.83239   0.83794   0.83411      2135
"
1,3,0.8646370023419204,0.7505112474437627,0.6872659176029963,0.7174975562072335,367,122,167,1479,"             precision    recall  f1-score   support

     Cancer    0.75051   0.68727   0.71750       534
    Healthy    0.89854   0.92380   0.91099      1601

avg / total    0.86152   0.86464   0.86260      2135
"
2,1,0.7214012041598249,0.19700214132762311,0.40707964601769914,0.26551226551226553,92,375,134,1226,"             precision    recall  f1-score   support

     Cancer    0.19700   0.40708   0.26551       226
    Healthy    0.90147   0.76577   0.82810      1601

avg / total    0.81433   0.72140   0.75851      1827
"
2,2,0.7553366174055829,0.20844327176781002,0.3495575221238938,0.2611570247933885,79,300,147,1301,"             precision    recall  f1-score   support

     Cancer    0.20844   0.34956   0.26116       226
    Healthy    0.89848   0.81262   0.85339      1601

avg / total    0.81312   0.75534   0.78013      1827
"
2,3,0.7432950191570882,0.20437956204379562,0.37168141592920356,0.26373626373626374,84,327,142,1274,"             precision    recall  f1-score   support

     Cancer    0.20438   0.37168   0.26374       226
    Healthy    0.89972   0.79575   0.84455      1601

avg / total    0.81370   0.74330   0.77270      1827
"
3,1,0.5869047619047619,0.9385342789598109,0.22569641841955657,0.3638863428047663,397,26,1362,1575,"             precision    recall  f1-score   support

     Cancer    0.93853   0.22570   0.36389      1759
    Healthy    0.53626   0.98376   0.69414      1601

avg / total    0.74686   0.58690   0.52125      3360
"
3,2,0.5922619047619048,0.9293598233995585,0.23934053439454236,0.38065099457504525,421,32,1338,1569,"             precision    recall  f1-score   support

     Cancer    0.92936   0.23934   0.38065      1759
    Healthy    0.53973   0.98001   0.69610      1601

avg / total    0.74371   0.59226   0.53096      3360
"
3,3,0.5916666666666667,0.9448275862068966,0.2336554860716316,0.3746581586144029,411,24,1348,1577,"             precision    recall  f1-score   support

     Cancer    0.94483   0.23366   0.37466      1759
    Healthy    0.53915   0.98501   0.69686      1601

avg / total    0.75152   0.59167   0.52818      3360
"
