fold,i_model,accuracy,precision,recall,f1,TP,FP,FN,TN,report
1,1,0.8051122239435098,0.753345774460144,0.695256372404291,0.7231363717787956,14129,4626,6193,30566,"             precision    recall  f1-score   support

     Cancer    0.75335   0.69526   0.72314     20322
    Healthy    0.83152   0.86855   0.84963     35192

avg / total    0.80291   0.80511   0.80333     55514
"
1,2,0.7829376373527398,0.7345202993876162,0.6374372601121937,0.6825438642710364,12954,4682,7368,30510,"             precision    recall  f1-score   support

     Cancer    0.73452   0.63744   0.68254     20322
    Healthy    0.80548   0.86696   0.83509     35192

avg / total    0.77950   0.78294   0.77925     55514
"
1,3,0.8035090247505133,0.758484349258649,0.6796575140242103,0.7169106197446278,13812,4398,6510,30794,"             precision    recall  f1-score   support

     Cancer    0.75848   0.67966   0.71691     20322
    Healthy    0.82549   0.87503   0.84954     35192

avg / total    0.80096   0.80351   0.80099     55514
"
2,1,0.8228721880414172,0.6688902365069739,0.8351222553779005,0.742819791625401,18751,9282,3702,41568,"             precision    recall  f1-score   support

     Cancer    0.66889   0.83512   0.74282     22453
    Healthy    0.91822   0.81746   0.86492     50850

avg / total    0.84185   0.82287   0.82752     73303
"
2,2,0.8159011227371322,0.6675394628562878,0.7948158375272792,0.7256388883241507,17846,8888,4607,41962,"             precision    recall  f1-score   support

     Cancer    0.66754   0.79482   0.72564     22453
    Healthy    0.90107   0.82521   0.86147     50850

avg / total    0.82954   0.81590   0.81987     73303
"
2,3,0.8468411934027257,0.7249519076627124,0.8056384447512582,0.7631684421474528,18089,6863,4364,43987,"             precision    recall  f1-score   support

     Cancer    0.72495   0.80564   0.76317     22453
    Healthy    0.90974   0.86503   0.88683     50850

avg / total    0.85314   0.84684   0.84895     73303
"
