 ,Area,X,Y
1,246,3387.520,941.699
2,375,3283.679,972.343
3,42,4462.690,1676.571
4,364,3276.500,1952.093
5,492,551.917,2047.500
6,415,4079.023,2042.767
7,42,5078.310,2057.429
8,253,4392.045,2128.385
9,330,4260.658,2174.639
10,621,624.088,2185.134
11,586,3577.945,2255.945
12,45,5833.078,2273.833
13,581,144.509,2336.295
14,463,5865.949,2338.366
15,248,6037.097,2347.101
16,457,495.844,2358.456
17,245,3622.427,2359.198
18,87,6267.569,2398.672
19,245,4275.545,2411.729
20,253,4451.136,2430.381
21,415,5127.541,2454.389
22,330,3482.545,2460.918
23,159,3685.657,2480.714
24,372,1534.148,2497.758
25,43,5972.570,2510.221
26,402,3567.154,2533.239
27,44,4697.500,2589.000
28,161,4637.339,2684.071
29,291,6061.414,2810.215
30,88,1427.364,2825.080
31,84,3527.107,2844.929
32,85,4193.182,3035.076
33,287,2179.092,3066.099
34,239,1969.747,3156.517
35,88,2131.500,3258.114
36,328,1867.393,3272.186
37,42,2141.000,3317.452
