fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,36,Cancer,0.8802635348037812,0.8802635348037812
1,1,07,Healthy,0.9569737222061796,0.0430262777938204
1,1,08,Healthy,0.9536887452880991,0.046311254711900895
1,2,36,Cancer,0.8341449441420796,0.8341449441420796
1,2,08,Healthy,0.9310716208939149,0.06892837910608507
1,2,07,Healthy,0.9344498989315623,0.06555010106843773
1,3,36,Cancer,0.8418791177313091,0.8418791177313091
1,3,08,Healthy,0.9283791060850834,0.07162089391491655
1,3,07,Healthy,0.937048801617095,0.06295119838290497
2,1,12,Cancer,0.826592082616179,0.826592082616179
2,1,08,Healthy,0.8827858553222043,0.11721414467779567
2,1,07,Healthy,0.8830493791510251,0.1169506208489749
2,2,12,Cancer,0.8580034423407917,0.8580034423407917
2,2,07,Healthy,0.885937048801617,0.11406295119838294
2,2,08,Healthy,0.8861963740800575,0.11380362591994253
2,3,12,Cancer,0.8541308089500861,0.8541308089500861
2,3,07,Healthy,0.8772740398498412,0.1227259601501588
2,3,08,Healthy,0.8732723029976664,0.12672769700233355
3,1,38,Cancer,0.3231926725547923,0.3231926725547923
3,1,37,Cancer,0.3359504756152801,0.3359504756152801
3,1,08,Healthy,0.9958714772931251,0.004128522706874915
3,1,07,Healthy,0.9950909615939937,0.004909038406006316
3,2,37,Cancer,0.30862147063264384,0.30862147063264384
3,2,38,Cancer,0.3215570821066405,0.3215570821066405
3,2,07,Healthy,0.9939358937337569,0.006064106266243097
3,2,08,Healthy,0.9951534733441034,0.004846526655896577
3,3,38,Cancer,0.2930978083087995,0.2930978083087995
3,3,37,Cancer,0.31239619507775934,0.31239619507775934
3,3,08,Healthy,0.99371746544606,0.006282534553940011
3,3,07,Healthy,0.9950909615939937,0.004909038406006316
