fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,36,Cancer,0.7097378277153558,0.7097378277153558
1,1,08,Healthy,0.9092140921409214,0.09078590785907859
1,1,07,Healthy,0.9015063731170336,0.09849362688296637
1,2,36,Cancer,0.6123595505617978,0.6123595505617978
1,2,08,Healthy,0.9159891598915989,0.0840108401084011
1,2,07,Healthy,0.9107763615295481,0.0892236384704519
1,3,36,Cancer,0.6872659176029963,0.6872659176029963
1,3,07,Healthy,0.9212050984936269,0.07879490150637314
1,3,08,Healthy,0.926829268292683,0.07317073170731703
2,1,12,Cancer,0.40707964601769914,0.40707964601769914
2,1,07,Healthy,0.7555040556199305,0.2444959443800695
2,1,08,Healthy,0.7777777777777778,0.2222222222222222
2,2,12,Cancer,0.3495575221238938,0.3495575221238938
2,2,08,Healthy,0.8157181571815718,0.1842818428184282
2,2,07,Healthy,0.8099652375434531,0.19003476245654694
2,3,12,Cancer,0.37168141592920356,0.37168141592920356
2,3,07,Healthy,0.7925840092699884,0.2074159907300116
2,3,08,Healthy,0.7994579945799458,0.20054200542005418
3,1,38,Cancer,0.23618090452261306,0.23618090452261306
3,1,37,Cancer,0.21703011422637591,0.21703011422637591
3,1,07,Healthy,0.981460023174971,0.018539976825028948
3,1,08,Healthy,0.986449864498645,0.013550135501354976
3,2,37,Cancer,0.24091381100726894,0.24091381100726894
3,2,38,Cancer,0.23743718592964824,0.23743718592964824
3,2,07,Healthy,0.9791425260718424,0.02085747392815762
3,2,08,Healthy,0.981029810298103,0.01897018970189701
3,3,37,Cancer,0.2284527518172378,0.2284527518172378
3,3,38,Cancer,0.2399497487437186,0.2399497487437186
3,3,08,Healthy,0.986449864498645,0.013550135501354976
3,3,07,Healthy,0.9837775202780996,0.016222479721900385
