fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,07,Cancer,0.6955271105997411,0.6955271105997411
1,1,37,Cancer,0.6983435792349727,0.6983435792349727
1,1,55,Cancer,0.6722993361496681,0.6722993361496681
1,1,26,Healthy,0.8700064151163469,0.1299935848836531
1,1,78,Healthy,0.8723502304147466,0.12764976958525343
1,1,61,Healthy,0.8664566929133858,0.13354330708661422
1,2,55,Cancer,0.6312613156306578,0.6312613156306578
1,2,07,Cancer,0.6309506687760679,0.6309506687760679
1,2,37,Cancer,0.6421618852459017,0.6421618852459017
1,2,26,Healthy,0.8663323030267686,0.13366769697323144
1,2,78,Healthy,0.8741935483870967,0.12580645161290327
1,2,61,Healthy,0.8666456692913386,0.13335433070866143
1,3,07,Cancer,0.6792751330360995,0.6792751330360995
1,3,55,Cancer,0.6547978273989137,0.6547978273989137
1,3,37,Cancer,0.6834016393442623,0.6834016393442623
1,3,61,Healthy,0.8768503937007874,0.12314960629921257
1,3,26,Healthy,0.8718726307808946,0.1281273692191054
1,3,78,Healthy,0.8866359447004608,0.11336405529953919
2,1,53,Cancer,0.8310454065469906,0.8310454065469906
2,1,05,Cancer,0.8351243475591035,0.8351243475591035
2,1,01,Cancer,0.8361240913811008,0.8361240913811008
2,1,59,Healthy,0.8155112520767256,0.1844887479232744
2,1,63,Healthy,0.8321579689703809,0.16784203102961914
2,1,80,Healthy,0.8188077392365348,0.18119226076346517
2,2,01,Cancer,0.7946521287642783,0.7946521287642783
2,2,53,Cancer,0.8022703273495249,0.8022703273495249
2,2,05,Cancer,0.7869204789683758,0.7869204789683758
2,2,59,Healthy,0.8223455671348738,0.17765443286512617
2,2,63,Healthy,0.8399153737658674,0.16008462623413255
2,2,80,Healthy,0.8276102492591947,0.17238975074080531
2,3,01,Cancer,0.803478712357217,0.803478712357217
2,3,53,Cancer,0.8170538542766631,0.8170538542766631
2,3,05,Cancer,0.802579060485109,0.802579060485109
2,3,59,Healthy,0.8637290439510648,0.13627095604893524
2,3,63,Healthy,0.8681241184767278,0.13187588152327223
2,3,80,Healthy,0.8663500087153565,0.1336499912846435
