fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,36,Cancer,0.8670867946147236,0.8670867946147236
1,1,08,Healthy,0.9032489678693233,0.0967510321306767
1,1,07,Healthy,0.9110597747617672,0.08894022523823275
1,2,36,Cancer,0.8693784016041249,0.8693784016041249
1,2,07,Healthy,0.9422466069881605,0.05775339301183946
1,2,08,Healthy,0.9416621791419852,0.058337820858014755
1,3,36,Cancer,0.7719851045545689,0.7719851045545689
1,3,07,Healthy,0.9211666185388392,0.07883338146116081
1,3,08,Healthy,0.9163525399389697,0.0836474600610303
2,1,12,Cancer,0.8765060240963856,0.8765060240963856
2,1,08,Healthy,0.8732723029976664,0.12672769700233355
2,1,07,Healthy,0.878429107710078,0.12157089228992202
2,2,12,Cancer,0.8489672977624785,0.8489672977624785
2,2,07,Healthy,0.9000866300895177,0.09991336991048227
2,2,08,Healthy,0.8949919224555735,0.10500807754442654
2,3,12,Cancer,0.9014629948364888,0.9014629948364888
2,3,07,Healthy,0.8585041871209934,0.1414958128790066
2,3,08,Healthy,0.8581942200682103,0.14180577993178967
3,1,38,Cancer,0.24304874059535492,0.24304874059535492
3,1,37,Cancer,0.2643817001358901,0.2643817001358901
3,1,08,Healthy,0.9978459881529348,0.002154011847065207
3,1,07,Healthy,0.9974010973144672,0.0025989026855327557
3,2,38,Cancer,0.24190382728164866,0.24190382728164866
3,2,37,Cancer,0.26030499773516536,0.26030499773516536
3,2,07,Healthy,0.9997112330349408,0.0002887669650591951
3,2,08,Healthy,0.9985639921019566,0.0014360078980434343
3,3,38,Cancer,0.2564605822701995,0.2564605822701995
3,3,37,Cancer,0.28068850973878906,0.28068850973878906
3,3,07,Healthy,0.9904706901530465,0.009529309846953549
3,3,08,Healthy,0.9885119368156525,0.011488063184347475
