fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,36,Cancer,0.7827715355805244,0.7827715355805244
1,1,07,Healthy,0.9107763615295481,0.0892236384704519
1,1,08,Healthy,0.9119241192411924,0.08807588075880757
1,2,36,Cancer,0.7378277153558053,0.7378277153558053
1,2,07,Healthy,0.9026651216685979,0.09733487833140209
1,2,08,Healthy,0.9132791327913279,0.08672086720867211
1,3,36,Cancer,0.7453183520599251,0.7453183520599251
1,3,08,Healthy,0.9119241192411924,0.08807588075880757
1,3,07,Healthy,0.9026651216685979,0.09733487833140209
2,1,12,Cancer,0.6061946902654868,0.6061946902654868
2,1,07,Healthy,0.7740440324449595,0.22595596755504055
2,1,08,Healthy,0.7818428184281843,0.21815718157181574
2,2,12,Cancer,0.5575221238938053,0.5575221238938053
2,2,07,Healthy,0.7995365005793743,0.2004634994206257
2,2,08,Healthy,0.7994579945799458,0.20054200542005418
2,3,12,Cancer,0.5398230088495575,0.5398230088495575
2,3,08,Healthy,0.8062330623306233,0.1937669376693767
2,3,07,Healthy,0.7902665121668598,0.20973348783314016
3,1,37,Cancer,0.14122533748701974,0.14122533748701974
3,1,38,Cancer,0.16080402010050251,0.16080402010050251
3,1,08,Healthy,0.991869918699187,0.008130081300813052
3,1,07,Healthy,0.9918887601390498,0.008111239860950192
3,2,37,Cancer,0.1952232606438214,0.1952232606438214
3,2,38,Cancer,0.20100502512562815,0.20100502512562815
3,2,07,Healthy,0.9907300115874855,0.009269988412514474
3,2,08,Healthy,0.9878048780487805,0.012195121951219523
3,3,37,Cancer,0.21806853582554517,0.21806853582554517
3,3,38,Cancer,0.2198492462311558,0.2198492462311558
3,3,07,Healthy,0.984936268829664,0.015063731170335992
3,3,08,Healthy,0.981029810298103,0.01897018970189701
