fold,i_model,accuracy,precision,recall,f1,TP,FP,FN,TN,report
1,1,0.8953293413173653,0.7813629323696438,0.8670867946147236,0.8219959266802443,3027,847,464,8187,"             precision    recall  f1-score   support

     Cancer    0.78136   0.86709   0.82200      3491
    Healthy    0.94636   0.90624   0.92587      9034

avg / total    0.90037   0.89533   0.89692     12525
"
1,2,0.9216766467065868,0.8525280898876404,0.8693784016041249,0.8608707984683024,3035,525,456,8509,"             precision    recall  f1-score   support

     Cancer    0.85253   0.86938   0.86087      3491
    Healthy    0.94914   0.94189   0.94550      9034

avg / total    0.92221   0.92168   0.92191     12525
"
1,3,0.8774451097804391,0.7847990681421083,0.7719851045545689,0.7783393501805054,2695,739,796,8295,"             precision    recall  f1-score   support

     Cancer    0.78480   0.77199   0.77834      3491
    Healthy    0.91244   0.91820   0.91531      9034

avg / total    0.87686   0.87745   0.87713     12525
"
2,1,0.8755062511005459,0.6438053097345132,0.8765060240963856,0.7423469387755101,2037,1127,287,7907,"             precision    recall  f1-score   support

     Cancer    0.64381   0.87651   0.74235      2324
    Healthy    0.96497   0.87525   0.91792      9034

avg / total    0.89926   0.87551   0.88200     11358
"
2,2,0.8871280154956859,0.6794077134986226,0.8489672977624785,0.7547819433817904,1973,931,351,8103,"             precision    recall  f1-score   support

     Cancer    0.67941   0.84897   0.75478      2324
    Healthy    0.95848   0.89694   0.92669      9034

avg / total    0.90138   0.88713   0.89152     11358
"
2,3,0.8671421024828315,0.6207407407407407,0.9014629948364888,0.7352167046850324,2095,1280,229,7754,"             precision    recall  f1-score   support

     Cancer    0.62074   0.90146   0.73522      2324
    Healthy    0.97131   0.85831   0.91132      9034

avg / total    0.89958   0.86714   0.87529     11358
"
3,1,0.5626751182766065,0.9935543278084714,0.2541414775849886,0.4047514848390122,3237,21,9500,9013,"             precision    recall  f1-score   support

     Cancer    0.99355   0.25414   0.40475     12737
    Healthy    0.48685   0.99768   0.65437      9034

avg / total    0.78329   0.56268   0.50833     21771
"
3,2,0.5616645996968445,0.9971980074719801,0.251472089188977,0.40165527619286473,3203,9,9534,9025,"             precision    recall  f1-score   support

     Cancer    0.99720   0.25147   0.40166     12737
    Healthy    0.48629   0.99900   0.65415      9034

avg / total    0.78519   0.56166   0.50643     21771
"
3,3,0.5679114418262826,0.9724744608399546,0.2690586480332888,0.4214992927864215,3427,97,9310,8937,"             precision    recall  f1-score   support

     Cancer    0.97247   0.26906   0.42150     12737
    Healthy    0.48978   0.98926   0.65518      9034

avg / total    0.77218   0.56791   0.51847     21771
"
